edad,anos_empresa,salario,satisfaccion,horas_trabajadas,promociones,departamento,abandono
47,0,38268,4,59,1,Operaciones,1
23,3,28062,3,44,0,Operaciones,1
22,0,43299,2,47,0,Tecnología,1
33,1,53498,3,34,1,Finanzas,0
26,2,28906,4,43,0,RR.HH.,0
58,2,38406,3,50,1,Operaciones,1
53,5,36928,2,31,1,Tecnología,1
30,2,58730,2,46,2,RR.HH.,0
56,2,56248,2,45,1,RR.HH.,0
40,1,42008,3,45,1,Tecnología,0
37,2,58182,4,54,1,Operaciones,1
24,1,45159,4,48,1,Ventas,1
41,0,50110,4,58,2,Ventas,1
45,4,85122,3,36,2,RR.HH.,1
54,5,79128,4,46,0,Finanzas,0
45,4,31607,2,45,1,Ventas,1
32,3,69935,3,35,0,Tecnología,0
29,2,69605,4,53,0,Marketing,0
57,9,34331,2,65,0,Ventas,1
59,3,69737,2,44,0,Finanzas,1
41,3,82682,5,49,0,Operaciones,0
56,0,34794,3,45,2,Tecnología,1
46,2,38484,4,38,1,Marketing,1
56,2,73317,1,30,1,Finanzas,1
46,2,59886,4,38,0,Tecnología,1
50,4,64926,3,32,4,RR.HH.,1
39,3,61130,1,60,1,Finanzas,1
39,4,62032,4,43,0,Finanzas,0
23,7,31123,2,41,1,Operaciones,1
56,8,73851,3,53,1,Tecnología,1
37,6,76052,1,34,0,Tecnología,1
57,15,50870,2,38,3,Ventas,1
54,0,54217,3,45,0,Ventas,1
25,1,27440,1,54,0,Ventas,1
54,0,64256,5,49,0,Operaciones,0
35,5,65297,1,47,0,Finanzas,0
42,11,53880,3,45,1,Finanzas,0
41,1,75238,2,48,1,Finanzas,1
29,13,48986,3,46,2,Operaciones,0
28,0,65162,5,35,0,RR.HH.,1
24,13,36646,2,45,2,Operaciones,1
38,2,54576,5,35,0,Tecnología,0
54,0,51861,2,45,0,Marketing,1
33,3,59055,4,40,2,Finanzas,0
43,1,48348,3,67,1,Tecnología,0
43,1,52633,5,44,0,RR.HH.,0
51,1,69868,3,32,0,RR.HH.,0
59,8,47138,3,43,0,Ventas,1
59,3,26081,2,49,1,Finanzas,1
29,1,86492,2,60,0,Tecnología,1
48,4,79866,5,39,2,Ventas,0
48,6,31739,3,30,1,Marketing,0
55,1,67414,3,52,1,Finanzas,0
42,2,45946,4,32,1,Operaciones,0
51,0,59742,3,41,0,Finanzas,1
54,0,60296,5,42,1,Tecnología,0
49,5,50780,4,44,2,RR.HH.,0
54,1,40892,3,51,2,Finanzas,0
26,3,42570,5,38,1,Marketing,0
40,6,38508,1,42,0,Tecnología,1
25,0,40027,2,44,0,Operaciones,0
56,4,53790,3,46,0,Marketing,1
38,1,42116,2,45,1,Finanzas,1
49,16,67276,4,48,1,Marketing,0
51,3,81770,5,52,0,Tecnología,0
50,8,44559,3,48,1,Marketing,0
27,3,59309,3,49,2,Finanzas,1
56,0,63994,5,30,0,Ventas,0
58,5,63496,3,45,3,Marketing,0
45,15,56367,3,49,2,RR.HH.,0
50,4,68368,3,51,0,Tecnología,1
52,8,63680,5,38,0,RR.HH.,0
56,10,32722,3,39,0,Ventas,1
54,1,70644,4,39,0,Tecnología,1
42,1,70971,4,49,0,Operaciones,0
53,4,41260,3,54,0,Ventas,1
44,2,55682,3,41,1,Tecnología,1
54,9,67299,4,53,1,Ventas,0
24,11,51232,3,46,0,Tecnología,1
39,2,74313,4,43,0,Finanzas,0
46,1,97549,5,43,0,Operaciones,1
52,7,40852,4,51,2,Marketing,0
24,1,30141,4,47,1,Finanzas,0
45,8,60468,4,65,2,Tecnología,0
53,2,67988,4,37,2,Marketing,0
43,5,50844,3,49,0,Operaciones,1
44,0,81158,1,40,2,RR.HH.,1
23,4,30905,3,37,1,Finanzas,0
48,3,67472,4,44,1,Marketing,0
23,4,44094,3,46,0,Finanzas,1
47,0,85948,4,71,2,Tecnología,1
38,6,90865,3,43,1,Finanzas,1
54,9,41200,4,34,1,Ventas,0
30,1,45107,2,47,2,Tecnología,0
50,0,70472,4,30,2,Tecnología,0
47,0,48031,3,44,0,Ventas,0
56,5,54182,2,45,2,Ventas,1
46,4,55456,3,52,0,Ventas,1
45,3,22000,4,53,0,Finanzas,1
34,1,54750,3,40,1,Operaciones,0
28,2,42584,2,43,1,Marketing,1
57,4,46123,5,38,0,Tecnología,0
41,3,80985,4,34,1,Finanzas,0
22,22,32382,5,47,1,Marketing,0
29,0,69637,3,33,2,Ventas,0
37,5,49978,3,41,0,Finanzas,0
35,2,49964,5,36,0,Operaciones,0
33,2,69226,3,49,0,Ventas,1
44,6,61120,4,61,2,Operaciones,0
36,5,65271,2,33,1,Operaciones,0
49,23,72427,3,30,1,Ventas,0
55,0,49036,2,43,0,Ventas,0
23,0,43979,2,45,0,Ventas,1
53,6,35467,1,46,1,Tecnología,1
44,4,40142,1,40,0,RR.HH.,1
43,1,108083,5,43,0,RR.HH.,0
46,0,77404,2,48,1,Tecnología,0
43,0,30680,4,54,0,Marketing,0
43,11,31195,4,30,0,Tecnología,1
27,1,63673,3,41,0,Ventas,1
36,1,64850,2,46,1,Tecnología,1
58,1,64879,4,36,0,RR.HH.,0
54,2,50410,4,60,1,Tecnología,1
29,0,52741,4,39,0,Tecnología,0
26,3,60901,4,44,1,Ventas,0
25,0,56546,5,50,0,Operaciones,1
27,8,22000,3,39,0,Marketing,0
53,1,50863,3,30,1,Tecnología,0
51,3,39674,4,41,1,Tecnología,0
56,10,58153,1,54,0,Finanzas,0
37,5,108734,5,41,0,Finanzas,0
34,3,61614,2,37,2,Tecnología,1
51,1,49356,3,53,1,Marketing,1
40,2,71592,4,42,0,RR.HH.,0
38,5,63688,3,40,0,Tecnología,0
40,25,62561,3,46,0,Finanzas,0
49,5,65923,3,51,1,Marketing,0
47,4,92017,5,66,0,Operaciones,0
58,6,34644,3,52,0,Ventas,1
47,3,63525,5,55,1,Tecnología,0
44,0,38325,1,40,1,RR.HH.,1
30,4,64999,4,35,1,Tecnología,1
33,15,38463,4,45,0,Finanzas,0
22,0,47487,2,45,0,Operaciones,1
22,5,49688,3,35,0,Finanzas,0
55,1,72564,2,43,0,Marketing,1
53,3,71532,4,48,1,Tecnología,0
46,0,32577,3,48,0,Operaciones,1
22,2,55988,4,49,1,Operaciones,0
37,7,42227,2,47,2,Tecnología,1
26,2,32346,2,40,2,Finanzas,0
43,5,51093,1,40,0,Ventas,1
50,7,49447,3,34,0,Operaciones,0
24,13,98680,3,61,0,RR.HH.,0
33,1,62793,5,45,1,Tecnología,0
47,2,30202,4,42,1,Finanzas,0
37,0,44834,3,36,2,Finanzas,1
58,24,73384,5,71,1,Ventas,1
43,13,92591,4,35,2,Ventas,0
50,3,26452,5,41,2,Tecnología,0
35,9,22000,3,48,0,RR.HH.,0
49,3,88677,2,50,1,Operaciones,0
26,4,62013,1,53,0,Marketing,1
51,0,39370,4,61,2,RR.HH.,1
26,7,64623,2,49,0,Operaciones,1
33,0,22000,3,35,0,Tecnología,0
37,8,55060,3,42,0,Operaciones,0
47,7,60900,3,47,0,Ventas,0
47,6,71636,4,63,1,Tecnología,0
42,0,36749,2,32,1,Finanzas,1
57,1,56542,3,55,1,Ventas,1
54,1,38342,4,46,0,Finanzas,1
51,2,59596,5,52,0,Operaciones,0
58,0,38883,4,44,1,Tecnología,0
44,13,47654,5,37,0,Tecnología,0
31,4,37075,4,51,0,Operaciones,0
26,1,66720,3,50,0,Operaciones,1
57,2,70452,2,53,1,Tecnología,1
55,2,50776,4,44,0,Tecnología,1
52,4,55688,4,39,0,Finanzas,0
31,3,28925,4,30,0,RR.HH.,0
40,12,49605,3,52,0,Ventas,1
53,3,54096,3,48,1,Tecnología,0
22,24,102174,3,36,0,Operaciones,0
26,9,34984,3,40,0,Finanzas,1
25,1,81355,2,40,2,Marketing,0
37,13,72943,4,31,0,Operaciones,0
45,0,60051,2,37,0,Marketing,1
37,8,86655,1,34,1,Ventas,0
23,2,61697,3,41,1,Operaciones,0
49,10,62004,4,38,1,Ventas,0
53,10,54043,3,30,2,Finanzas,0
48,8,77024,2,63,0,Tecnología,1
41,7,74736,3,56,0,Tecnología,1
45,1,43737,3,37,0,Operaciones,0
33,0,31253,5,47,0,Operaciones,0
56,2,51346,5,48,1,Ventas,0
54,0,40599,3,55,1,Finanzas,1
54,5,53856,3,37,1,Tecnología,1
58,2,77273,4,54,1,Tecnología,0
33,18,46768,1,40,0,Operaciones,1
24,5,54229,3,32,1,Tecnología,1
22,8,56044,3,51,1,Marketing,0
54,0,70271,5,56,1,Ventas,1
31,9,22000,1,68,1,Finanzas,1
50,12,44079,3,34,2,Finanzas,0
34,3,58803,4,51,0,Tecnología,1
33,4,76601,3,41,1,Tecnología,0
52,7,46145,1,52,0,Operaciones,1
23,0,22000,5,31,0,Operaciones,0
56,3,66154,3,33,1,Tecnología,0
44,2,43563,4,38,1,RR.HH.,0
38,0,33586,2,45,0,Ventas,0
47,2,43761,3,39,2,Ventas,0
29,0,51678,3,50,1,RR.HH.,1
50,0,44114,1,54,1,Ventas,1
47,0,22000,2,50,0,Operaciones,1
31,16,71147,4,59,0,Finanzas,1
47,3,77947,2,48,0,Marketing,1
55,16,66727,2,34,1,Finanzas,1
28,2,34521,3,57,2,Marketing,1
25,1,51373,4,39,0,RR.HH.,0
32,3,54882,1,53,1,Finanzas,1
50,2,65778,3,59,0,Marketing,0
57,0,67030,2,49,1,Finanzas,0
46,5,41784,1,31,0,Ventas,1
42,1,56475,1,36,1,Finanzas,1
57,4,63231,4,56,1,Marketing,0
31,5,81204,2,43,0,Operaciones,1
58,0,67681,1,45,0,RR.HH.,1
30,0,69203,3,51,0,Finanzas,1
45,7,56508,4,51,0,Marketing,0
56,3,80388,2,47,1,Ventas,1
56,0,62375,3,43,1,Finanzas,1
57,26,39500,1,42,1,Tecnología,0
39,0,80260,3,52,1,Finanzas,1
53,5,67562,3,49,2,Finanzas,0
45,20,47025,3,42,1,Ventas,0
44,1,46369,3,54,2,Ventas,0
53,0,60338,3,43,0,Finanzas,0
58,0,63337,2,37,0,Ventas,1
33,1,58551,3,38,1,Tecnología,0
34,0,60603,1,36,0,Operaciones,1
44,5,85599,4,42,1,Tecnología,0
46,0,74287,5,56,0,RR.HH.,0
56,3,58431,5,37,0,Marketing,1
51,28,71943,5,46,0,Ventas,0
38,8,36414,4,39,1,Tecnología,0
41,4,62162,4,42,1,Finanzas,0
46,1,87567,3,31,2,Operaciones,0
43,4,51075,4,43,1,Marketing,1
34,3,39742,3,43,1,Marketing,0
40,2,43262,3,49,0,Operaciones,1
57,0,35386,4,47,1,Ventas,0
33,10,40874,3,34,1,Ventas,0
40,2,48330,3,54,1,Tecnología,1
33,1,29699,5,46,0,Ventas,1
30,2,55281,1,46,0,Finanzas,1
28,2,71240,3,44,0,Finanzas,0
49,8,38660,5,40,0,Ventas,0
35,6,82347,4,46,1,Operaciones,1
52,7,64194,3,49,0,Ventas,1
40,0,73550,2,30,0,Tecnología,1
37,2,43158,3,40,2,Finanzas,0
26,3,70381,5,42,1,Tecnología,0
56,0,35345,3,47,0,Tecnología,1
33,1,71024,3,55,0,Ventas,1
46,7,58093,1,38,2,Tecnología,1
42,0,64958,1,40,0,Operaciones,0
57,3,33839,5,40,0,Marketing,0
44,1,38888,3,37,0,Tecnología,0
37,0,65750,4,41,1,Tecnología,0
35,1,37929,1,51,1,Finanzas,1
52,18,63337,4,35,3,Marketing,0
26,8,30391,5,48,1,Tecnología,0
56,16,70267,3,30,1,Tecnología,0
44,3,32814,2,39,4,Operaciones,1
50,0,64941,3,42,0,Finanzas,1
32,3,66261,4,60,1,Ventas,0
39,3,42458,3,42,1,Finanzas,1
33,9,65476,5,30,1,Ventas,0
30,0,59687,4,30,0,RR.HH.,0
31,3,45300,5,45,2,RR.HH.,0
38,0,36846,4,50,1,Operaciones,0
59,1,22000,2,48,0,Tecnología,0
28,6,61293,3,46,0,Tecnología,0
34,3,26833,2,55,1,Ventas,1
30,2,56716,5,40,0,Operaciones,0
48,2,50257,4,53,0,Ventas,0
23,3,67224,4,30,1,Tecnología,1
26,7,49563,3,36,1,Ventas,0
50,11,49069,2,30,1,Operaciones,1
58,15,68173,4,42,0,RR.HH.,1
59,7,61031,3,44,1,Tecnología,0
40,1,60690,2,46,2,Tecnología,1
29,5,63446,4,45,3,Operaciones,0
22,2,27359,1,36,1,RR.HH.,1
43,1,68622,3,43,1,Finanzas,1
38,9,66024,3,31,1,Operaciones,1
28,0,36699,2,57,0,Marketing,1
46,11,50606,5,42,2,Tecnología,0
25,3,54292,2,40,1,Marketing,0
57,5,52579,2,59,1,Ventas,1
27,5,61009,2,33,0,Tecnología,0
52,11,80764,4,34,1,Operaciones,0
40,5,74471,3,35,1,Tecnología,1
48,4,31380,3,44,1,Tecnología,1
31,0,66197,1,48,0,Tecnología,1
47,3,78920,1,51,1,Finanzas,1
40,0,61962,3,68,0,Tecnología,1
24,6,74637,4,30,0,Finanzas,0
34,3,91220,5,50,1,Operaciones,0
49,5,73426,1,39,2,Finanzas,1
41,0,59487,3,39,2,Ventas,0
49,0,73811,5,39,1,Marketing,0
29,6,57607,3,36,1,Tecnología,1
22,0,55430,4,60,3,Ventas,0
24,0,48674,2,52,0,Ventas,1
34,0,83141,5,45,0,RR.HH.,0
49,15,40268,4,57,1,Ventas,0
46,6,82582,5,31,1,Ventas,0
54,2,63997,4,33,1,Tecnología,0
59,1,29812,3,30,2,Tecnología,1
27,2,61617,5,38,1,Finanzas,0
53,7,22000,2,46,1,Operaciones,0
42,5,66259,3,45,0,Operaciones,0
37,1,70934,4,46,1,Tecnología,0
42,0,44337,4,32,1,Ventas,0
32,0,57223,5,52,0,Marketing,1
58,5,90174,2,47,0,Ventas,1
57,7,45896,4,51,0,Operaciones,0
56,1,35939,4,30,0,Ventas,0
40,0,81669,1,47,0,Marketing,1
41,0,90326,3,34,0,Tecnología,0
39,17,55066,3,41,1,Tecnología,0
35,1,73206,3,49,1,Finanzas,1
36,7,79146,5,45,1,RR.HH.,0
52,4,41635,4,37,0,Tecnología,1
22,2,46264,4,45,1,RR.HH.,0
24,1,77155,5,31,1,Finanzas,0
37,0,85330,3,55,1,Ventas,1
44,4,65131,4,43,0,Ventas,0
32,7,39163,3,55,1,Tecnología,0
33,5,90767,5,40,1,Ventas,0
31,3,45442,2,40,1,Finanzas,0
53,0,48967,5,38,2,Ventas,0
37,17,61162,2,52,0,Tecnología,0
29,8,82974,3,38,0,Ventas,1
59,1,70371,4,50,1,RR.HH.,0
33,19,62467,3,41,1,Ventas,1
45,4,63339,4,30,0,Ventas,0
49,4,55783,3,39,2,Ventas,0
29,6,65046,4,34,1,Marketing,0
49,8,22000,2,45,0,Ventas,1
57,5,49661,1,34,0,Finanzas,1
47,0,59343,3,53,3,Ventas,0
29,2,34281,3,44,0,Ventas,1
49,13,61953,2,43,0,RR.HH.,0
49,1,51319,3,50,3,Tecnología,1
58,2,86598,3,53,1,Marketing,1
57,2,83314,1,44,0,Marketing,1
48,2,46615,3,38,1,Operaciones,1
38,4,52284,5,30,0,Finanzas,0
30,14,53668,2,38,2,Tecnología,0
54,1,46870,3,39,1,Tecnología,1
41,0,58510,4,45,2,Marketing,0
34,1,41350,3,41,1,Finanzas,1
49,10,34648,4,51,0,RR.HH.,0
50,5,66208,3,39,1,Ventas,1
34,1,66331,3,44,1,Ventas,0
56,8,40522,1,55,0,Marketing,0
27,9,71116,4,48,0,Tecnología,1
39,9,43631,4,44,1,Tecnología,0
26,12,59556,1,39,1,Ventas,1
46,1,69766,3,39,0,Operaciones,1
23,7,54394,5,37,1,Ventas,1
31,3,63185,3,40,1,Operaciones,1
51,9,45704,3,51,0,Ventas,1
26,6,51463,5,43,0,Operaciones,0
54,7,51294,4,32,1,Finanzas,0
22,5,41561,3,60,2,Ventas,1
39,0,51818,4,47,1,RR.HH.,0
53,3,27124,5,32,0,Tecnología,0
32,20,46159,3,41,0,Ventas,0
42,13,49872,3,45,1,Operaciones,1
47,0,50388,3,60,2,Tecnología,1
46,0,50653,5,35,1,Tecnología,0
43,0,53888,4,53,0,Ventas,0
48,6,63629,1,57,1,Tecnología,1
34,8,70741,5,39,4,Operaciones,0
54,1,43304,3,42,2,Tecnología,0
55,3,33342,1,35,1,Marketing,1
56,9,36243,3,43,1,Marketing,0
22,6,46230,3,44,1,Ventas,0
42,3,48665,5,50,1,Ventas,1
27,4,41140,2,54,0,Operaciones,1
49,3,31669,4,38,1,Tecnología,1
38,1,46789,3,30,1,Ventas,1
26,4,58265,1,44,1,Tecnología,0
52,5,65710,5,47,0,Finanzas,0
26,10,44966,3,47,0,Operaciones,1
59,5,47566,3,42,2,Ventas,1
24,7,38319,3,46,0,Ventas,0
44,0,54434,5,58,0,Marketing,0
58,3,39728,3,48,0,Operaciones,1
58,0,65316,2,41,0,RR.HH.,1
31,1,22854,2,40,1,Operaciones,1
31,6,48526,3,43,1,Tecnología,0
40,24,60419,4,59,1,Operaciones,0
38,0,58309,3,43,0,Tecnología,1
42,2,103474,2,44,2,Ventas,1
35,8,61296,2,40,0,Finanzas,0
30,1,36927,3,54,2,Tecnología,1
22,4,53281,5,62,0,Marketing,1
34,6,23027,3,49,3,Tecnología,0
25,4,53549,5,45,0,Marketing,0
22,1,40004,3,45,0,Marketing,0
53,2,71477,2,30,0,Ventas,0
55,7,45108,5,51,1,Operaciones,0
49,4,52898,3,46,0,Tecnología,1
52,0,43559,4,48,0,Marketing,0
29,7,86299,5,38,0,Tecnología,0
47,0,49217,1,41,0,Operaciones,1
55,6,87986,1,41,2,Tecnología,0
24,1,69654,4,54,0,Ventas,0
33,15,63677,3,41,0,Ventas,1
22,2,61637,2,63,0,Tecnología,1
26,1,62088,1,48,2,Operaciones,0
51,0,22000,1,33,1,Finanzas,1
51,1,49980,4,43,3,Finanzas,0
38,10,70212,2,39,3,Tecnología,1
44,28,54119,3,30,3,RR.HH.,0
36,2,29706,4,59,1,Ventas,1
58,2,54056,3,51,1,Operaciones,1
42,6,85673,1,49,1,Marketing,0
35,10,77444,4,46,1,Tecnología,0
23,4,53883,1,32,2,Ventas,1
32,2,72126,4,40,1,Ventas,0
59,2,48402,5,52,0,Finanzas,1
55,5,24330,3,35,0,Finanzas,0
59,0,38359,3,30,0,Operaciones,1
55,4,83131,3,42,2,Tecnología,1
39,2,50068,3,43,0,Operaciones,1
51,7,50619,5,46,0,Finanzas,0
36,0,49602,5,51,1,Tecnología,0
48,4,89274,3,50,0,RR.HH.,1
55,3,84267,4,47,2,Ventas,0
59,5,94938,5,55,1,Tecnología,0
54,0,52137,5,31,1,Operaciones,1
45,4,60321,3,49,0,Tecnología,0
36,4,27700,3,50,1,Operaciones,0
51,4,81584,2,33,1,Finanzas,0
38,4,33979,5,31,0,Ventas,0
26,5,58901,2,38,0,RR.HH.,0
50,8,35248,3,39,1,RR.HH.,0
25,1,44400,3,51,0,Tecnología,0
31,8,39929,2,39,2,Ventas,0
38,3,44058,3,37,2,Tecnología,0
31,0,45295,5,39,1,Ventas,0
